temperature,77.29999999999998
material,PCN-777
adsorbate,nitrogen
pressure_mode,relative
pressure_unit,None
adsorbent_basis,mass
adsorbent_unit,g
loading_basis,molar
loading_unit,cm3(STP)
apparatus,mic
batch,after D4
date,04/11/2020 12:22:18
mass,0.038
data:[pressure,loading,[otherdata],branch data]
pressure,loading,branch
0.009671189778671435,175.5075829851724,ads
0.02909555023521348,233.46278903963298,ads
0.04910063090591515,263.8726995907435,ads
0.06005613968293413,276.24090738151676,ads
0.06683464740289513,283.07432972475556,ads
0.07904858459565924,294.3081859081984,ads
0.08907954887923561,302.9245471558039,ads
0.09895912169692872,311.01092503414407,ads
0.12064876548107849,327.96024924250213,ads
0.14639689864387423,347.98139598866555,ads
0.17095930637788312,367.13189953361996,ads
0.1955736106958653,386.3779525477976,ads
0.2558423183639585,437.2967152566317,ads
0.3049838641359867,485.93059302337457,ads
0.34960979876261533,546.2784965534743,ads
0.44423418176951307,1214.1094025688426,ads
0.6768880933143554,1239.6814283709084,ads
0.7143408974639477,1242.579835532608,ads
0.736022097980576,1244.2300415442432,ads
0.7386174760327573,1244.4893090128362,ads
0.759347064080724,1245.8156533586575,ads
0.7782766737529585,1247.0520350108823,ads
0.7987608289750391,1248.2347753726199,ads
0.8184551903615657,1249.4817528065687,ads
0.8386095137932712,1250.7556494117428,ads
0.8585702466645874,1251.9823766484365,ads
0.8783006014865582,1253.2908754566859,ads
0.8983124183795306,1254.684949444213,ads
0.909012661206701,1255.500372532749,ads
0.9189327564425069,1256.3264818126743,ads
0.9288808126107347,1257.2335843273993,ads
0.9388098543044718,1258.3428088486094,ads
0.9487856297252856,1259.7017492755438,ads
0.9587141906644494,1261.389440291134,ads
0.9685391399230431,1263.7129697085697,ads
0.9780385605117495,1267.6184684114123,ads
0.9872147281390007,1274.947110669263,ads
0.9900527534024312,1289.93860109644,ads
0.9825381240894391,1272.6254125614453,des
0.9671795960873841,1264.4344300128848,des
0.945063569445081,1259.572683016169,des
0.923412250914984,1256.8738583053841,des
0.9027253528120233,1254.9620019097915,des
0.8824428796699624,1253.3768042472343,des
0.86227359847796,1251.9592021899007,des
0.8422081596458513,1250.6324371230621,des
0.8220724236154345,1249.3713501546167,des
0.8020925799253353,1248.063784642453,des
0.7820287174769391,1246.7983394242756,des
0.7620404958712942,1245.499270708935,des
0.742001231880562,1244.2075545657317,des
0.7220328666975225,1242.8440404485261,des
0.7197323410918768,1242.5486379084268,des
0.7001310626392555,1241.2707158496435,des
0.6768725243051424,1239.5085792994382,des
0.6507447293992165,1237.4438502408934,des
0.6258817269324187,1235.2270805653939,des
0.6006288344377464,1232.957968385205,des
0.5528799349517711,1228.1940420773267,des
0.5021650366652383,1222.3196915054923,des
0.45222874490384024,1215.2864653260028,des
0.4021633905226406,1206.6834469908172,des
0.3563503367802804,651.6017245232417,des
0.30095115253341964,482.29130563696566,des
0.24522231093457603,428.3586401771326,des
0.20595262542446635,395.3038533623877,des
0.17824035107331787,373.51043120034734,des
0.1519938569890607,353.48089449797516,des
0.1271011501257712,333.93652393871355,des
0.10430181569516654,316.396125852429,des
0.0766704145549149,293.5480199624479,des
0.05165915870698327,268.4205884567336,des
0.030083428011302853,236.93666590136297,des
0.010368428863167137,180.24077700748228,des
