ind,MOF,UCVOL,RHO,PLD,LCD,SA,PV,Vf,KH_H2O,Hst_H2O,M_D4,V_D4
376,NUFCAU_clean,47151.4,0.85,7.34,9.94,2384.13,0.87,0.74,4.8e-06,16.0,0.41364999999999996,0.3516025
377,OBAHAD_stripped,28430.2,0.94,7.73,8.94,1492.46,0.64,0.61,3.5e-06,17.26,0.17993,0.16913419999999998
378,OBAHIL_clean,27570.6,0.97,7.38,8.44,1404.76,0.61,0.6,3.98e-06,19.24,0.18359999999999999,0.17809199999999997
379,OBAHOR_clean,27315.7,0.98,7.1,8.05,1417.37,0.6,0.59,6.05e-06,22.67,0.14387,0.1409926
380,OBAHUX_clean,27937.2,0.96,7.49,8.31,1438.83,0.62,0.6,5.68e-06,21.89,0.20197,0.1938912
381,OBAJAF_clean,28555.3,0.94,7.74,9.09,1512.14,0.65,0.61,6.43e-06,20.07,0.22032,0.20710079999999997
382,OBOGUK_clean,35529.2,0.77,7.83,8.65,3005.98,0.96,0.74,6.02e-06,19.09,0.44044,0.3391388
383,ODIMAQ_clean,23734.2,1.44,7.27,8.52,651.84,0.4,0.58,9.96e-06,33.49,0.042409999999999996,0.06107039999999999
384,ODIXEG_clean,69211.3,0.55,7.47,10.36,4117.99,1.42,0.79,3.05e-06,10.89,0.7032,0.38676000000000005
385,ODODUI_clean,57071.1,0.62,7.64,11.0,3401.04,1.24,0.77,3.9e-06,13.74,0.56628,0.3510936
386,ONEYOW_clean,32851.4,0.79,7.89,8.71,2173.79,0.83,0.66,6.86e-06,20.38,0.30344,0.2397176
387,ORUKET_clean,34500.6,0.76,7.76,11.73,2266.88,0.88,0.67,6.59e-06,21.2,0.26268,0.19963680000000003
388,OSIKIL_clean,34590.7,1.22,7.63,8.14,1292.66,0.55,0.67,2.06e-06,16.19,0.10452,0.1275144
389,PEDRIA_clean,138704.0,0.59,7.93,15.09,3650.52,1.37,0.81,1.82e-06,9.4,0.59985,0.3539115
390,PELQII_clean,70684.0,0.67,7.18,9.07,2911.07,1.05,0.71,4.05e-06,15.84,0.26558,0.1779386
391,PEMREG_clean,65597.7,0.75,7.47,9.07,2586.39,0.93,0.7,3.89e-06,14.75,0.32609,0.2445675
392,PEVQIS_clean_h,135069.0,0.61,7.78,14.9,3564.36,1.32,0.8,1.9e-06,9.25,0.53001,0.3233061
393,PEVQOY_clean_h,133323.0,0.61,7.88,14.8,3570.57,1.31,0.81,1.99e-06,9.72,0.57952,0.3535072
394,PIQFIG_clean,56759.3,0.69,7.8,9.2,3303.71,1.13,0.78,2.79e-06,13.88,0.5758099999999999,0.3973088999999999
395,QEPZUH_charged,64282.7,0.59,7.3,10.56,3611.74,1.22,0.72,6.68e-06,15.67,0.24086000000000002,0.1421074
396,QUDGED_clean,27199.6,0.6,7.38,9.12,3771.0,1.29,0.78,6.59e-06,18.65,0.62683,0.376098
397,QUQWUW_clean,30562.2,0.97,7.19,9.1,1679.87,0.68,0.66,4.42e-06,19.21,0.28386,0.2753442
398,QUSBIP_clean,60307.1,0.57,7.41,10.67,4160.24,1.38,0.78,3.99e-06,14.25,0.58838,0.33537659999999997
399,QUTYOU_clean,65377.1,0.63,7.93,15.55,3398.51,1.22,0.77,3.6e-06,13.5,0.4387,0.276381
400,RAKCUC_clean,35196.9,1.19,7.89,8.58,1362.87,0.57,0.68,2.68e-06,19.2,0.15244,0.18140359999999997
401,RAKDAJ_clean,34883.6,1.21,7.89,8.46,1315.1,0.56,0.67,1.78e-06,13.77,0.20523,0.24832829999999997
402,RAKDEN_clean,34764.9,1.21,7.41,8.39,1311.64,0.55,0.67,5.41e-06,20.41,0.17344,0.2098624
403,RAYKEJ_stripped,48512.6,1.03,7.36,9.59,1005.3,0.54,0.55,3.57e-06,20.26,0.22581,0.23258430000000002
404,RAYKIN_clean,48062.2,1.03,7.12,9.49,969.78,0.53,0.55,3.22e-06,20.09,0.21689,0.2233967
405,REGXOS_stripped,24465.3,0.92,7.12,19.51,1519.9,0.72,0.66,5.42e-06,21.41,0.23947,0.2203124
406,REHHOD_clean,51884.6,0.98,7.3,9.5,1958.77,0.7,0.69,6.49e-06,22.29,0.23434,0.2296532
407,REXDIJ_clean,32697.1,1.29,7.1,8.91,1235.51,0.51,0.65,1.52e-06,16.43,0.18763,0.2420427
408,RIYBAE_clean,34408.3,1.22,7.5,8.18,1329.75,0.55,0.67,2.52e-06,19.48,0.15669,0.1911618
409,RIYBEI_clean,34908.3,1.2,7.81,8.31,1327.4,0.56,0.67,3.17e-06,21.1,0.14998,0.179976
410,RIYBIM_clean,33867.8,1.24,7.51,8.36,1329.09,0.53,0.66,3.35e-06,22.71,0.12888,0.1598112
411,RIYBOS_clean,33954.3,1.24,7.51,8.27,1312.47,0.54,0.66,1.97e-06,15.44,0.15231,0.1888644
